חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,1142556,חשבון פיקטיבי טכ עילית,1084698,חילן,"ש""ח",42047,16710,0,7026053.7
,1142556,חשבון פיקטיבי טכ עילית,1095264,קמטק,"ש""ח",21822,11000,0,2400420
,1142556,חשבון פיקטיבי טכ עילית,1123355,אנרג'יקס,"ש""ח",1052464,1170,0,12313828.8
,1142556,חשבון פיקטיבי טכ עילית,1147271,קסם.ישראטקBSTAR,"ש""ח",38500,14190,0,5463150
,1142556,חשבון פיקטיבי טכ עילית,1160829,פוורפליט,"ש""ח",4465.35,1163,0,51932.02
,1142556,חשבון פיקטיבי טכ עילית,8230617,מ.ק.מ.      613,"ש""ח",77000000,99.9,0,76923000
,1142556,חשבון פיקטיבי טכ עילית,8230716,מ.ק.מ.      713,"ש""ח",198303,99.55,0,197410.64
,1142556,חשבון פיקטיבי טכ עילית,8230815,מ.ק.מ.      813,"ש""ח",840000,99.22,0,833448
,1142556,חשבון פיקטיבי טכ עילית,71007660,VRNT,"דולרים של ארה""ב",52597,35.69,3.7286,6999279.19
,1142556,חשבון פיקטיבי טכ עילית,71031348,ORA,"דולרים של ארה""ב",28345,84.92,3.7286,8974954.22
,1142556,חשבון פיקטיבי טכ עילית,71031348,ORA,"דולרים של ארה""ב",2551.05,0,3.7286,9511.85
,1142556,חשבון פיקטיבי טכ עילית,71327811,WIX,"דולרים של ארה""ב",21027,77.65,3.7286,6087858.79
,1142556,חשבון פיקטיבי טכ עילית,71573604,SEDG,"דולרים של ארה""ב",5893,294.41,3.7286,6468964.88
,1142556,חשבון פיקטיבי טכ עילית,72544711,FVRR,"דולרים של ארה""ב",7778,26.28,3.7286,762147.62
,1142556,חשבון פיקטיבי טכ עילית,72585441,PWFL,"דולרים של ארה""ב",105316,3.13,3.7286,1229092.27
,1142556,חשבון פיקטיבי טכ עילית,72592553,NAILOMTK,"דולרים של ארה""ב",158907,15.3,3.7286,9065259.8
